City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Ahero,KE,9/27/2022 18:53,-0.1746,34.9163,76.98,77,39,2.95
71,Qaanaaq,GL,9/27/2022 18:53,77.484,-69.3632,33.17,99,100,2.55
72,Tsiroanomandidy,MG,9/27/2022 18:53,-18.7667,46.0333,69.22,29,0,3.65
73,Pozo Colorado,PY,9/27/2022 18:53,-23.4923,-58.7972,70.61,92,100,8.41
74,Mehamn,NO,9/27/2022 18:51,71.0357,27.8492,48.11,87,75,10.36
75,Zell Am See,AT,9/27/2022 18:53,47.3256,12.7944,45.54,46,51,2.59
76,Mar Del Plata,AR,9/27/2022 18:53,-38.0023,-57.5575,57.22,59,0,19.57
77,Castro,BR,9/27/2022 18:53,-24.7911,-50.0119,60.98,98,100,1.81
78,Kalundborg,DK,9/27/2022 18:53,55.6795,11.0886,51.35,85,98,5.79
79,East London,ZA,9/27/2022 18:53,-33.0153,27.9116,67.14,94,100,14.97
80,Hambantota,LK,9/27/2022 18:53,6.1241,81.1185,78.62,84,98,14.2
81,Caravelas,BR,9/27/2022 18:53,-17.7125,-39.2481,78.66,68,0,9.78
82,Paita,PE,9/27/2022 18:53,-5.0892,-81.1144,70.18,69,83,17.38
83,Sao Filipe,CV,9/27/2022 18:53,14.8961,-24.4956,77.59,73,78,5.17
84,Mana,GF,9/27/2022 18:53,5.6592,-53.7767,84.97,66,43,13.33
85,Dasoguz,TM,9/27/2022 18:53,41.8363,59.9666,62.55,42,0,4.61
86,Bojnurd,IR,9/27/2022 18:53,37.4747,57.329,66.15,52,0,2.3
87,Penzance,GB,9/27/2022 18:53,50.1186,-5.5371,59.68,92,100,31.81
88,Haukipudas,FI,9/27/2022 18:53,65.1765,25.3523,46.45,88,100,7.96
89,Saldanha,ZA,9/27/2022 18:54,-33.0117,17.9442,55.45,87,1,6.89
90,Kalabagh,PK,9/27/2022 18:54,32.965,71.557,86.11,48,0,2.89
91,Sylling,NO,9/27/2022 18:54,59.8952,10.2792,52.47,93,100,5.59
92,Aksarka,RU,9/27/2022 18:54,66.5606,67.7975,28.54,95,96,8.32
93,Tasiilaq,GL,9/27/2022 18:54,65.6145,-37.6368,35.19,97,100,1.86
94,Bousse,BF,9/27/2022 18:54,12.6606,-1.8922,80.71,64,100,6.67
95,Port-Gentil,GA,9/27/2022 18:54,-0.7193,8.7815,76.96,88,75,9.22
