City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Torbay,CA,47.6666,-52.7314,55.58,96,100,4.61,fog
79,Uppsala,SE,60.0,17.75,51.31,76,20,11.5,few clouds
80,Nanortalik,GL,60.1432,-45.2371,36.7,87,100,8.75,overcast clouds
81,Saint-Philippe,RE,-21.3585,55.7679,63.99,79,32,11.12,scattered clouds
82,Havre-Saint-Pierre,CA,50.2334,-63.5986,48.56,93,20,2.3,few clouds
83,Tocache,PE,-8.1842,-76.5125,73.06,91,99,0.72,overcast clouds
84,Linhares,BR,-19.3911,-40.0722,72.45,86,100,2.44,overcast clouds
85,Cap-Aux-Meules,CA,47.3821,-61.8597,55.45,94,75,9.22,broken clouds
86,Lagoa,PT,39.05,-27.9833,69.87,90,13,13.29,few clouds
87,Yarumal,CO,6.9632,-75.4174,52.75,99,100,0.31,overcast clouds
88,Ivanivka,UA,46.7208,34.553,54.16,61,82,6.13,broken clouds
89,Skibotn,NO,69.3913,20.2679,42.58,95,83,7.47,light rain
90,San Rafael,AR,-34.6177,-68.3301,66.29,26,7,7.47,clear sky
91,Bonavista,CA,48.6499,-53.1147,54.16,86,37,6.67,scattered clouds
92,La Paz,BO,-16.5,-68.15,53.58,18,20,8.05,few clouds
93,Port-Gentil,GA,-0.7193,8.7815,77.5,84,100,12.12,overcast clouds
94,Hithadhoo,MV,-0.6,73.0833,80.6,79,100,20.11,light rain
95,Mitu,CO,1.1983,-70.1733,77.72,76,24,2.42,few clouds
96,Tabou,CI,4.423,-7.3528,75.52,91,94,6.22,overcast clouds
97,Natal,BR,-5.795,-35.2094,80.82,83,20,6.91,few clouds
98,Mabaruma,GY,8.2,-59.7833,75.52,95,100,2.93,overcast clouds
99,Coihaique,CL,-45.5752,-72.0662,40.95,75,20,3.44,few clouds
100,Ponta Do Sol,PT,32.6667,-17.1,72.23,63,14,6.29,few clouds
101,El Dorado,US,38.7666,-120.5177,83.43,28,7,1.99,clear sky
102,Lodja,CD,-3.4833,23.4333,68.77,98,98,2.84,overcast clouds
103,Salou,ES,41.0766,1.1416,71.04,68,0,5.75,clear sky
104,East London,ZA,-33.0153,27.9116,62.82,66,100,11.18,overcast clouds
105,Clyde River,CA,70.4692,-68.5914,25.03,80,100,0.0,overcast clouds
106,Nyuksenitsa,RU,60.4128,44.2397,47.3,94,100,11.39,overcast clouds
107,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.51,87,9,6.4,clear sky
108,Bengkulu,ID,-3.8004,102.2655,73.02,86,100,4.92,light rain
109,Mgandu,TZ,-5.95,34.1333,60.49,60,98,9.73,overcast clouds
110,Poroszlo,HU,47.65,20.6667,54.01,70,95,5.95,light rain
111,Copiapo,CL,-27.3667,-70.3333,51.49,28,6,1.7,clear sky
112,Adeje,ES,28.1227,-16.726,70.9,83,75,5.75,broken clouds
113,Turukhansk,RU,65.8167,87.9833,26.02,97,100,7.83,overcast clouds
114,Dawlatabad,AF,36.4141,64.9053,51.04,21,0,2.28,clear sky
115,Mahebourg,MU,-20.4081,57.7,69.26,70,67,15.73,broken clouds
116,Ferrol,ES,43.4832,-8.2369,64.27,92,15,7.47,few clouds
117,Mitsamiouli,KM,-11.3847,43.2844,76.17,77,4,9.19,clear sky
118,Vardo,NO,70.3705,31.1107,42.78,81,7,16.11,clear sky
119,Carutapera,BR,-1.195,-46.02,78.39,79,49,8.12,scattered clouds
120,Tessalit,ML,20.1986,1.0114,86.31,19,2,9.91,clear sky
121,Grand-Lahou,CI,5.1367,-5.0242,74.89,94,87,7.52,light rain
122,Kutum,SD,14.2,24.6667,76.44,27,100,4.68,overcast clouds
123,Bambous Virieux,MU,-20.3428,57.7575,69.22,71,77,15.68,broken clouds
124,Castro,BR,-24.7911,-50.0119,62.65,96,100,13.11,moderate rain
125,Puerto Suarez,BO,-18.95,-57.8,69.17,96,100,3.96,overcast clouds
126,Nantucket,US,41.2835,-70.0995,55.51,100,100,0.0,mist
127,Praia Da Vitoria,PT,38.7333,-27.0667,70.75,94,75,10.27,light intensity shower rain
128,Saint George,US,37.1041,-113.5841,86.59,23,0,0.0,clear sky
129,Amapa,BR,1.0,-52.0,77.58,71,11,5.82,few clouds
130,Dunkwa,GH,5.9656,-1.78,71.89,99,98,2.3,light rain
131,Luis Correia,BR,-2.8792,-41.6669,79.09,80,20,14.16,few clouds
132,Ostersund,SE,63.1792,14.6357,46.85,61,20,10.36,few clouds
133,Resistencia,AR,-27.4606,-58.9839,62.65,84,20,4.61,few clouds
134,Ilhabela,BR,-23.7781,-45.3581,70.77,95,100,1.99,overcast clouds
135,Letlhakane,BW,-21.4167,25.5833,71.53,27,0,7.54,clear sky
136,Mananjary,MG,-21.2167,48.3333,63.97,92,44,5.35,scattered clouds
137,Touros,BR,-5.1989,-35.4608,77.07,85,19,11.05,few clouds
138,Carupano,VE,10.6678,-63.2585,77.63,89,100,7.85,overcast clouds
139,Borskoye,RU,53.0333,51.7167,41.13,93,9,5.59,clear sky
140,Paramonga,PE,-10.6667,-77.8333,61.57,83,9,9.31,clear sky
141,Camana,PE,-16.6228,-72.7111,60.94,82,5,7.7,clear sky
142,Awbari,LY,26.5921,12.7805,69.71,47,0,8.34,clear sky
143,Ilebo,CD,-4.3167,20.5833,69.75,96,100,0.43,overcast clouds
144,Wattegama,LK,6.7989,81.4808,75.04,82,100,3.29,overcast clouds
145,Acarau,BR,-2.8856,-40.12,77.99,82,6,13.15,clear sky
146,Barra Do Bugres,BR,-15.0725,-57.1811,76.89,76,100,2.04,moderate rain
147,Bahia Blanca,AR,-38.7196,-62.2724,50.65,62,7,8.16,clear sky
148,Coquimbo,CL,-29.9533,-71.3436,56.93,88,0,2.3,clear sky
149,Krasnyy,RU,54.5678,31.4333,46.2,93,2,11.56,clear sky
150,Barreirinhas,BR,-2.7469,-42.8264,78.57,84,54,12.44,broken clouds
151,Hamilton,US,39.1834,-84.5333,65.71,66,40,3.44,scattered clouds
152,Mahibadhoo,MV,3.7833,72.9667,82.2,74,99,16.82,overcast clouds
153,Berlevag,NO,70.8578,29.0864,44.6,75,75,19.57,broken clouds
154,Raudeberg,NO,61.9875,5.1352,52.47,11,100,32.39,overcast clouds
155,Maceio,BR,-9.6658,-35.7353,76.44,94,40,5.75,scattered clouds
156,Rio Grande,BR,-32.035,-52.0986,66.31,95,100,14.52,overcast clouds
